TABLE_NAME COLUMN_NAME IS_NULLABLE DATA_TYPE COLUMN_DEFAULT
---------- ----------- ----------- --------- --------------
Categories Id NO int NULL
Categories CategoryName NO nvarchar NULL
Categories CategoryCode YES nvarchar NULL
Categories Description YES nvarchar NULL
Categories IconPath YES nvarchar NULL
Categories DisplayOrder NO int NULL
Categories ParentCategoryId YES int NULL
Categories IsActive NO bit NULL
Categories CreatedAt NO datetime2 NULL
Categories UpdatedAt YES datetime2 NULL
Categories CreatedBy YES int NULL
Categories UpdatedBy YES int NULL
Suppliers Id NO int NULL
Suppliers SupplierName NO nvarchar NULL
Suppliers SupplierCode YES nvarchar NULL
Suppliers ContactPerson YES nvarchar NULL
Suppliers Phone YES nvarchar NULL
Suppliers Mobile YES nvarchar NULL
Suppliers Email YES nvarchar NULL
Suppliers Address YES nvarchar NULL
Suppliers TaxNumber YES nvarchar NULL
Suppliers CommercialRegister YES nvarchar NULL
Suppliers OpeningBalance NO decimal NULL
Suppliers CurrentBalance NO decimal NULL
Suppliers Notes YES nvarchar NULL
Suppliers IsActive NO bit NULL
Suppliers CreatedAt NO datetime2 NULL
Suppliers UpdatedAt YES datetime2 NULL
Suppliers CreatedBy YES int NULL
Suppliers UpdatedBy YES int NULL
Units Id NO int NULL
Units UnitName NO nvarchar NULL
Units UnitSymbol YES nvarchar NULL
Units Description YES nvarchar NULL
Units IsActive NO bit NULL
Units CreatedAt NO datetime2 NULL
Units UpdatedAt YES datetime2 NULL
Units CreatedBy YES int NULL
Units UpdatedBy YES int NULL

(39 rows affected)
